Id,added_words,WordCount,Lat,Long,group
Hello513,0,0,0,0,taylor_swift
177.91.254.3,0,0,0,0,taylor_swift
Kenna 1D lover Niall,0,0,0,0,taylor_swift
La loi et la justice,1,0,0,0,taylor_swift
95.12.198.245,0,0,0,0,taylor_swift
EnaldoSS,0,0,0,0,taylor_swift
189.214.3.176,0,0,0,0,taylor_swift
BorkedBot,2,0,0,0,both
Thierry Caro,4,0,0,0,both
Helgi-S,1,0,0,0,taylor_swift
SINGmeAsadSONG,1,0,0,0,taylor_swift
Alneth,1,0,0,0,taylor_swift
Chaotic Good,1,0,0,0,taylor_swift
Jorgedelatc,1,0,0,0,taylor_swift
Sldst-bot,0,0,0,0,taylor_swift
99.237.103.23,1,0,0,0,taylor_swift
Wolverène,0,0,0,0,taylor_swift
ValterVBot,0,0,0,0,taylor_swift
Bcxfu75k,0,0,0,0,taylor_swift
Flávio Nuno Neves Rodrigues,0,0,0,0,taylor_swift
Escudero,1,0,0,0,taylor_swift
Remitamine,0,0,0,0,both
Jc86035,3,0,0,0,taylor_swift
2A02:1810:4F2B:6500:6DAA:17C0:55CA:B1E5,0,0,0,0,taylor_swift
Snow Blizzard,2,0,0,0,taylor_swift
205.133.147.153,0,0,0,0,taylor_swift
Sporti,0,0,0,0,taylor_swift
Ghuron,3,0,0,0,both
Cwf97,1,0,0,0,taylor_swift
Hamedkazemi2,2,0,0,0,taylor_swift
26 Ramadan,1,0,0,0,taylor_swift
Pigsonthewing,1,0,0,0,taylor_swift
194.83.172.71,0,0,0,0,taylor_swift
Irn,1,0,0,0,taylor_swift
KLBot2,1,0,0,0,taylor_swift
Reinheitsgebot,8,0,0,0,both
Kooma,1,0,0,0,taylor_swift
Sotho Tal Ker,8,0,0,0,taylor_swift
VojtěchDostálBot,0,0,0,0,both
207.102.180.121,0,0,0,0,taylor_swift
Frettiebot,1,0,0,0,taylor_swift
Սահակ,0,0,0,0,taylor_swift
Mbchbot,0,0,0,0,taylor_swift
Kiwonik,1,0,0,0,taylor_swift
Quesotiotyo,5,0,0,0,both
Jakeob9000,0,0,0,0,taylor_swift
Morrelln,1,0,0,0,taylor_swift
213.57.147.126,0,0,0,0,taylor_swift
Spinster,1,0,0,0,taylor_swift
GPUBot,1,0,0,0,taylor_swift
Asav,0,0,0,0,taylor_swift
Zuphilip,0,0,0,0,taylor_swift
Minerva97,2,0,0,0,taylor_swift
Yuriklim,1,0,0,0,taylor_swift
&beer&love,1,0,0,0,taylor_swift
Engelbert,1,0,0,0,taylor_swift
Nikki,3,0,0,0,taylor_swift
SweetBot,1,0,0,0,taylor_swift
187.138.151.33,0,0,0,0,taylor_swift
Salpynx,0,0,0,0,taylor_swift
Harmonia Amanda,0,0,0,0,taylor_swift
McMurphy2246,2,0,0,0,taylor_swift
Lewis Hulbert,1,0,0,0,taylor_swift
Toglenn,0,0,0,0,taylor_swift
Jon Harald Søby,0,0,0,0,taylor_swift
Spinster300,1,0,0,0,taylor_swift
AdamSeattle,3,0,0,0,taylor_swift
WikiDataMovieDB,4,0,0,0,taylor_swift
LimaMarioBot,1,0,0,0,taylor_swift
82.166.126.149,0,0,0,0,taylor_swift
108.28.97.214,0,0,0,0,taylor_swift
AmaryllisGardener,3,0,0,0,taylor_swift
SamoaBot,3,0,0,0,taylor_swift
176.19.235.3,0,0,0,0,taylor_swift
Vladimir Alexiev,2,0,0,0,both
85.250.187.207,0,0,0,0,taylor_swift
71.163.61.144,0,0,0,0,taylor_swift
Bamyers99,1,0,0,0,taylor_swift
YFdyh000,1,0,0,0,taylor_swift
Coyau,0,0,0,0,taylor_swift
72.142.76.228,0,0,0,0,taylor_swift
187.200.178.56,0,0,0,0,taylor_swift
Prcondo,1,0,0,0,taylor_swift
MsynBot,1,0,0,0,both
Yerpo,0,0,0,0,taylor_swift
Meisam,1,0,0,0,taylor_swift
Aleneitor,0,0,0,0,taylor_swift
M2k~dewiki,2,0,0,0,both
MatSuBot,1,0,0,0,taylor_swift
Алиса Селезньова,0,0,0,0,taylor_swift
Lymantria,1,0,0,0,taylor_swift
I'mfeistyincognito,2,0,0,0,taylor_swift
Infovarius,0,0,0,0,taylor_swift
Lesko987a,0,0,0,0,taylor_swift
Yupik,2,0,0,0,taylor_swift
Sjoerddebruin,0,0,0,0,taylor_swift
Joey Camelaroche,0,0,0,0,taylor_swift
84.126.41.83,0,0,0,0,taylor_swift
2601:18D:4700:949F:8CCF:88EA:214E:74F2,0,0,0,0,taylor_swift
Bigbossfarin,1,0,0,0,taylor_swift
FrankDay25,0,0,0,0,taylor_swift
BappleBusiness,0,0,0,0,taylor_swift
Lolnowbu,0,0,0,0,taylor_swift
Legoktm,1,0,0,0,taylor_swift
J36miles,1,0,0,0,taylor_swift
190.208.154.48,0,0,0,0,taylor_swift
Szonlover,0,0,0,0,taylor_swift
Strugglehouse,0,0,0,0,taylor_swift
Pintoch,2,0,0,0,taylor_swift
Trade,19,0,0,0,taylor_swift
Obsuser,1,0,0,0,taylor_swift
OT38,0,0,0,0,taylor_swift
68.203.168.246,0,0,0,0,taylor_swift
Moebeus,3,0,0,0,taylor_swift
107.8.25.56,0,0,0,0,taylor_swift
Soweego bot,4,0,0,0,both
Sparkleeldar,1,0,0,0,taylor_swift
Ohmyerica,1,0,0,0,taylor_swift
PintochBot,0,0,0,0,taylor_swift
Envlh,1,0,0,0,taylor_swift
Joao4669,1,0,0,0,taylor_swift
Shei98,1,0,0,0,taylor_swift
89.128.9.179,0,0,0,0,taylor_swift
Tagishsimon,0,0,0,0,taylor_swift
Jmh2o,0,0,0,0,taylor_swift
Eduardosalg,0,0,0,0,taylor_swift
RobotMichiel1972,1,0,0,0,taylor_swift
UNDISPUTED,1,0,0,0,taylor_swift
24.246.30.89,0,0,0,0,taylor_swift
Cardabela4831,0,0,0,0,taylor_swift
2003:66:8F54:3D0E:3085:BF58:2C53:1192,2,0,0,0,taylor_swift
OsvátA,0,0,0,0,taylor_swift
Soylacarli,0,0,0,0,taylor_swift
Larske,0,0,0,0,taylor_swift
MusicologoVzla,0,0,0,0,taylor_swift
Bob08,1,0,0,0,noah_kahan
78.39.249.113,4,0,0,0,noah_kahan
Premeditated,1,0,0,0,noah_kahan
Vycl1994,9,0,0,0,noah_kahan
Laddo,1,0,0,0,noah_kahan
MileyCytrus,0,0,0,0,noah_kahan
SlingWikiBot,1,0,0,0,noah_kahan
BotMultichillT,1,0,0,0,noah_kahan
Euro know,7,0,0,0,noah_kahan
Luckyz,1,0,0,0,noah_kahan
ISNIplus,0,0,0,0,noah_kahan
DontCallMeLateForDinner,1,0,0,0,noah_kahan
Multichill,0,0,0,0,noah_kahan
Emijrpbot,0,0,0,0,noah_kahan
Kukurydziarz,0,0,0,0,noah_kahan
Tom Morris,1,0,0,0,noah_kahan
Hameltion,0,0,0,0,noah_kahan
86.247.140.253,1,0,0,0,noah_kahan
SillyWolverène,1,0,0,0,noah_kahan
24.224.234.105,0,0,0,0,noah_kahan
Mod,0,0,0,0,noah_kahan
Simon Villeneuve,2,0,0,0,noah_kahan
