rev_id,timestamp,user,comment
2248701524,2024-09-16T02:06:52Z,MatSuBot,/* wbeditentity-update-languages-short:0||af */ import labels from sitelinks
2246906608,2024-09-12T02:52:49Z,87.177.148.95,/* wbsetclaim-update:2||1 */ [[Property:P18]]: Schloss Neuschwanstein 2013.jpg
2246297200,2024-09-10T18:56:01Z,Astirmays,/* wbsetclaim-create:2||1 */ [[Property:P361]]: [[Q64825541]]
2242628613,2024-09-03T07:11:52Z,Woordgenoot,/* wbsetsitelink-add:1|afwiki */ Neuschwanstein-kasteel
2241593399,2024-09-01T15:51:29Z,ISNIplus,"/* wbremoveclaims-remove:1| */ [[Property:P7859]]: viaf-42149294074680520140, [[:toollabs:quickstatements/#/batch/237043|batch #237043]]"
2239556355,2024-08-29T20:49:16Z,2604:5040:11:608:0:0:0:3968,/* wbsetclaim-update:2||1 */ [[Property:P18]]: Schloss Neuschwanstein (45 mm).jpg
2228053006,2024-08-15T10:54:20Z,Granpar,/* wbsetclaim-create:2||1 */ [[Property:P8593]]: 27697
2224316402,2024-08-10T09:46:30Z,向史公哲曰,/* clientsitelink-update:0|zhwiki|zhwiki:新天鹅城堡|zhwiki:新天鹅堡 */
2218143807,2024-08-01T14:37:56Z,RKDdata,"/* wbsetclaim-create:2||1 */ [[Property:P8519]]: 89879, RKD thesaurus ID ([[:toollabs:editgroups/b/OR/bfa1db9dfab|details]])"
2199113967,2024-07-09T06:41:19Z,ZI Jony,/* wbsetclaim-create:2||1 */ [[Property:P12884]]: 1471
2187426812,2024-06-24T05:37:50Z,RealityBites,/* wbsetclaim-update:2||1|1 */ [[Property:P244]]: sh86007802
2165936713,2024-05-27T11:08:11Z,Syenirasheila,"/* wbsetlabel-set:1|id */ Neuschwanstein Castle, #quickstatements; #temporary_batch_1716807809559"
2139999880,2024-04-29T07:20:46Z,MatSuBot,/* wbeditentity-update-languages-short:0||mn */ add missing labels
2131032794,2024-04-17T02:44:29Z,Zorigt,/* wbsetsitelink-add:1|mnwiki */ Нойшванштайн шилтгээн
2096067392,2024-03-07T15:58:29Z,Kostisl,/* clientsitelink-update:0|elwiki|elwiki:Κάστρο Νοϊσβάνσταϊν|elwiki:Κάστρο Nόισβανσταϊν */
2090826627,2024-03-01T09:04:44Z,Sj1mor,/* wbsetclaim-create:2||1 */ [[Property:P948]]: Neuschwanstein Castle Wikivoyage banner.jpg
2078163618,2024-02-15T18:08:13Z,Vojtěch Dostál,"/* wbsetqualifier-add:1| */ [[Property:P1810]]: Schloss Neuschwanstein (Německo), add P1810 qualifier to NKCR (P691) claims ([[:toollabs:editgroups/b/wikibase-cli/cd61dc3532ace/|details]])"
2068827033,2024-02-04T14:02:56Z,Hkoala,/* wbsetdescription-add:1|hu */ kastély Németországban
2066502583,2024-02-01T11:51:28Z,Filipović Zoran,"/* wbsetdescription-add:1|sr */ замак у Баварској, Немачка, Европа"
2066502578,2024-02-01T11:51:28Z,Filipović Zoran,"/* wbsetdescription-add:1|sr-ec */ замак у Баварској, Немачка, Европа"
2066502575,2024-02-01T11:51:27Z,Filipović Zoran,/* wbsetlabel-add:1|sr-ec */ Нојшванштајн
2061345405,2024-01-24T23:33:01Z,TadejM,/* wbsetaliases-add:1|sl */ Neuschwanstein
2061345398,2024-01-24T23:33:01Z,TadejM,/* wbsetdescription-add:1|sl */ grad na Bavarskem v Nemčiji
2061345382,2024-01-24T23:33:00Z,TadejM,/* wbsetlabel-set:1|sl */ grad Neuschwanstein
2061255651,2024-01-24T20:58:44Z,Arch2bot,"/* wbsetreference-add:2| */ [[Property:P454]]: 20015611, Add archINFORM reference"
2061255645,2024-01-24T20:58:43Z,Arch2bot,"/* wbsetreference-add:2| */ [[Property:P227]]: 4075333-5, Add archINFORM reference"
2040152356,2023-12-29T21:43:28Z,Quesotiotyo,"/* wbcreateclaim-create:1| */ [[Property:P12086]]: Slot_Neuschwanstein, [[:toollabs:quickstatements/#/batch/220142|batch #220142]]"
