Source,Target,interaction_type,value
2601:601:947F:B7D8:98EA:353C:698A:ED92,NicoScribe,MODIFIED,2
MisterSynergy,2601:601:947F:B7D8:98EA:353C:698A:ED92,MODIFIED,3
2601:601:947F:B7D8:98EA:353C:698A:ED92,MisterSynergy,MODIFIED,1
201.220.18.182,NicoScribe,MODIFIED,1
36.80.218.123,PLbot,MODIFIED,1
24.105.173.194,201.220.18.182,MODIFIED,1
NicoScribe,24.105.173.194,MODIFIED,1
Njohnson7,Coyau,MODIFIED,1
Njohnson7,Njohnson7,MODIFIED,1
175.32.224.145,MisterSynergy,MODIFIED,1
175.32.224.145,NicoScribe,MODIFIED,1
175.32.224.145,175.32.224.145,MODIFIED,1
NicoScribe,175.32.224.145,MODIFIED,2
Tantamounts,Njohnson7,MODIFIED,1
Tantamounts,Tantamounts,MODIFIED,1
Skyshifter,ZellmerLP,MODIFIED,1
186.106.173.134,NicoScribe,MODIFIED,1
84.121.121.173,Skyshifter,MODIFIED,1
NicoScribe,84.121.121.173,MODIFIED,1
Hguti2004,186.106.173.134,MODIFIED,1
94.23.206.11,37.210.61.212,MODIFIED,1
83.36.120.174,Hguti2004,MODIFIED,1
83.36.120.174,94.23.206.11,MODIFIED,1
83.36.120.174,NicoScribe,MODIFIED,1
153.107.193.210,36.80.218.123,MODIFIED,1
153.107.193.210,Maxlath,MODIFIED,1
153.107.193.210,153.107.193.210,MODIFIED,1
Shinnin,153.107.193.210,MODIFIED,2
Shinnin,83.36.120.174,MODIFIED,3
190.82.103.206,Shinnin,MODIFIED,1
85.204.136.17,NicoScribe,MODIFIED,1
NicoScribe,85.204.136.17,MODIFIED,1
190.239.191.21,190.82.103.206,MODIFIED,1
2605:A000:92C7:A300:28A3:C089:283D:FA5E,Shinnin,MODIFIED,1
Kill trump,Danrok,MODIFIED,2
Kill trump,Tantamounts,MODIFIED,1
Kill trump,NicoScribe,MODIFIED,1
Kill trump,Shinnin,MODIFIED,1
Kill trump,Ldhank,MODIFIED,1
Kill trump,Kooma,MODIFIED,1
Kill trump,Kill trump,MODIFIED,2
51.179.165.52,NicoScribe,MODIFIED,1
51.179.165.52,190.239.191.21,MODIFIED,1
51.179.165.52,51.179.165.52,MODIFIED,3
51.179.165.52,Danrok,MODIFIED,1
51.179.165.52,Dissident93,MODIFIED,1
51.179.165.52,Kill trump,MODIFIED,2
51.179.165.52,2A01:C50E:89A3:2000:1C3B:2E1F:67A4:B1E1,MODIFIED,1
51.179.165.52,Shinnin,MODIFIED,1
2.152.247.15,Kill trump,MODIFIED,5
2.152.247.15,51.179.165.52,MODIFIED,8
2.152.247.15,2605:A000:92C7:A300:28A3:C089:283D:FA5E,MODIFIED,1
2.152.247.15,2.152.247.15,MODIFIED,2
Titore,2.152.247.15,MODIFIED,1
189.243.227.18,2.152.247.15,MODIFIED,1
190.48.130.87,2.152.247.15,MODIFIED,1
YMS,Titore,MODIFIED,1
YMS,2.152.247.15,MODIFIED,1
YMS,YMS,MODIFIED,2
Hakken,Hakken,MODIFIED,1
37.132.39.35,2.152.247.15,MODIFIED,1
37.132.39.35,NicoScribe,MODIFIED,1
37.132.39.35,189.243.227.18,MODIFIED,1
Kam Solusar,37.132.39.35,MODIFIED,3
2806:109F:9:51A3:ACE8:F1E1:DFC9:B7EA,Kam Solusar,MODIFIED,1
Kam Solusar,2806:109F:9:51A3:ACE8:F1E1:DFC9:B7EA,MODIFIED,1
FallingGravity,FallingGravity,MODIFIED,2
213.67.29.106,2.152.247.15,MODIFIED,1
NicoScribe,213.67.29.106,MODIFIED,1
Kirilloparma,Kirilloparma,MODIFIED,39
87.125.118.126,Shinnin,MODIFIED,1
Kirilloparma,87.125.118.126,MODIFIED,1
189.215.232.15,Kam Solusar,MODIFIED,1
189.215.232.15,189.215.232.15,MODIFIED,1
Kirilloparma,189.215.232.15,MODIFIED,1
