Source,Target,interaction_type,predicate,revision_id
Mike Peel,Galobtter,edit,P106,627426318
Galobtter,Thierry Caro,edit,P106,652001017
Thierry Caro,Nicewels,edit,P106,654859521
Nicewels,Thatguy1987,edit,P106,669388913
Thatguy1987,Zenfiric,edit,P106,687270710
Zenfiric,Bogger,edit,P106,705402505
Bogger,Visite fortuitement prolongée,edit,P106,1026561893
Visite fortuitement prolongée,Andreasmperu,edit,P106,1044192418
Andreasmperu,Visite fortuitement prolongée,edit,P106,1074435327
Visite fortuitement prolongée,Trade,edit,P106,1074445992
Trade,Rommeliosva,edit,P106,1079677119
Rommeliosva,Visite fortuitement prolongée,edit,P106,1079952876
Visite fortuitement prolongée,Davidpar,edit,P106,1151538776
Davidpar,Infovarius,edit,P106,1228094392
Infovarius,Matthias Winkelmann,edit,P106,1278246486
Matthias Winkelmann,Infovarius,edit,P106,1278953127
Infovarius,Haansn08,edit,P106,1285601358
Haansn08,Infovarius,edit,P106,1286753142
Infovarius,Matthias Winkelmann,edit,P106,1286804306
Matthias Winkelmann,Elli,edit,P106,1343806323
Elli,Infovarius,edit,P106,1345270093
Infovarius,Michael-Moates,edit,P106,1419876258
Michael-Moates,Infovarius,edit,P106,1422155979
Infovarius,Reinheitsgebot,edit,P106,1542667136
Reinheitsgebot,Quesotiotyo,edit,P106,1543545128
Quesotiotyo,Nintendofan885,edit,P106,1657330337
Nintendofan885,Germartin1,edit,P106,1787426438
Germartin1,Frettiebot,edit,P106,1790131443
Frettiebot,Asav,edit,P106,1865465446
Asav,Frettiebot,edit,P106,1867172330
Frettiebot,Wow,edit,P106,1943314700
Wow,ايمو کي ڀڄايو,edit,P106,2142020351
ايمو کي ڀڄايو,AniaGrzybowska,edit,P106,2253504536
AniaGrzybowska,Elyaqim,edit,P106,2286722259
Elyaqim,Artaxerxes,edit,P106,2289571010
Artaxerxes,Totorvdr59,edit,P106,2321832375
MarrickLip,189.133.212.97,edit,P101,224139980
189.133.212.97,Rippitippi,edit,P101,224141309
Rippitippi,187.214.65.233,edit,P101,225545725
187.214.65.233,Nikki,edit,P101,225545792
Nikki,187.214.65.233,edit,P101,225548013
187.214.65.233,Nikki,edit,P101,225548504
Nikki,63.141.204.129,edit,P101,282085040
63.141.204.129,Arpyia,edit,P101,282085446
Arpyia,Triggerhippie4,edit,P101,405018904
Triggerhippie4,Danrok,edit,P101,434009917
Danrok,Triggerhippie4,edit,P101,434372484
Triggerhippie4,KrBot,edit,P101,705546800
KrBot,Nicewels,edit,P101,878492149
Nicewels,Andreasmperu,edit,P101,878846579
Andreasmperu,Arbnos,edit,P101,1105328866
Arbnos,Zenfiric,edit,P101,1224250882
Zenfiric,MiklyxoMaklai,edit,P101,1320153185
MiklyxoMaklai,Matthias Winkelmann,edit,P101,1320194994
Matthias Winkelmann,VojtěchDostálBot,edit,P101,1772780689
VojtěchDostálBot,Maksim L.,edit,P101,2312249914
Maksim L.,Frettiebot,edit,P101,2312274634
Frettiebot,Evs,edit,P101,2313456916
Evs,Infovarius,edit,P101,2345138971
MarrickLip,63.141.204.129,edit,P69,282085083
63.141.204.129,Arpyia,edit,P69,282085446
Arpyia,KRLS,edit,P69,283696160
KRLS,Triggerhippie4,edit,P69,314266585
Triggerhippie4,Jura1,edit,P69,314301660
Jura1,Banderas,edit,P69,404467202
Banderas,Arbnos,edit,P69,425998272
Arbnos,Jura1,edit,P69,426264979
Jura1,DGtal,edit,P69,434287290
DGtal,Triggerhippie4,edit,P69,434378915
Triggerhippie4,Chetankale1978,edit,P69,504466083
Chetankale1978,Dmitry Rozhkov,edit,P69,651739477
Dmitry Rozhkov,Quesotiotyo,edit,P69,1377741548
Quesotiotyo,IagoQnsi,edit,P69,1700542388
MarrickLip,63.141.204.129,edit,P512,282085138
63.141.204.129,Arpyia,edit,P512,282085446
Arpyia,Chaotic Good,edit,P512,310704247
Chaotic Good,Triggerhippie4,edit,P512,314267976
Triggerhippie4,Banderas,edit,P512,404471816
Banderas,Premeditated,edit,P512,1204643896
Premeditated,Lovasoa,edit,P512,1211056990
MarrickLip,63.141.204.129,edit,P140,282085164
63.141.204.129,Arpyia,edit,P140,282085446
Arpyia,Chaotic Good,edit,P140,310697354
Chaotic Good,Arbnos,edit,P140,425996449
Arbnos,בורה בורה,edit,P140,431175056
בורה בורה,Premeditated,edit,P140,1204643896
Premeditated,Janitoalevic,edit,P140,2191340416
Janitoalevic,DeltaBot,edit,P140,2205761656
MarrickLip,187.137.66.7,edit,P22,252546986
187.137.66.7,YMS,edit,P22,252559670
YMS,63.141.204.129,edit,P22,282085176
63.141.204.129,Arpyia,edit,P22,282085446
Arpyia,Wylve,edit,P22,421957693
MarrickLip,Jura1,edit,P26,166229127
Jura1,PreferentialBot,edit,P26,241498317
PreferentialBot,87.9.90.77,edit,P26,247318019
87.9.90.77,63.141.204.129,edit,P26,282085206
63.141.204.129,Arpyia,edit,P26,282085446
Arpyia,Jura1,edit,P26,314303005
Jura1,ChristianKl,edit,P26,385590231
ChristianKl,Chetankale1978,edit,P26,388278531
