Source,Target,interaction_type,group
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
Ontogon,Ontogon,ADDED,taylor_swift
