rev_id,timestamp,user,comment
1123042940,2020-02-24T21:53:15Z,Mohanad,"/* wbsetqualifier-add:1| */ [[Property:P585]]: 22 February 2020, [[:toollabs:quickstatements/#/batch/25971|batch #25971]]"
1123042756,2020-02-24T21:52:57Z,Mohanad,"/* wbcreateclaim-create:1| */ [[Property:P1603]]: 77,794, [[:toollabs:quickstatements/#/batch/25971|batch #25971]]"
1123038489,2020-02-24T21:45:17Z,Mohanad,"/* wbsetqualifier-add:1| */ [[Property:P459]]: [[Q6467278]], #quickstatements; #temporary_batch_1582580524264"
1123038433,2020-02-24T21:45:09Z,Mohanad,"/* wbsetreference-add:2| */ [[Property:P1603]]: 76,769, #quickstatements; #temporary_batch_1582580524264"
1123038393,2020-02-24T21:45:05Z,Mohanad,"/* wbsetqualifier-add:1| */ [[Property:P3005]]: [[Q2]], #quickstatements; #temporary_batch_1582580524264"
1123038361,2020-02-24T21:44:45Z,Mohanad,"/* wbsetqualifier-add:1| */ [[Property:P585]]: 21 February 2020, #quickstatements; #temporary_batch_1582580524264"
1123038341,2020-02-24T21:44:31Z,Mohanad,"/* wbcreateclaim-create:1| */ [[Property:P1603]]: 76,769, #quickstatements; #temporary_batch_1582580524264"
1123022387,2020-02-24T20:54:04Z,Eulenspiegel1,"/* wbsetaliases-add:3|de */ Coronavirus-Ausbruch 2019/2020, COVID-19-Epidemie 2019/2020, COVID-19-Ausbruch 2019/2020"
1122979946,2020-02-24T19:31:21Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P3017]]: coronavirus
1122979196,2020-02-24T19:29:48Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P6328]]: 4260
1122975755,2020-02-24T19:22:58Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P5558]]: coronavirus-2019-ncov
1122974607,2020-02-24T19:20:26Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P5551]]: coronavirus
1122973389,2020-02-24T19:16:22Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P6621]]: coronavirus
1122915337,2020-02-24T16:51:32Z,Zhenqinli,"/* wbsetclaim-update:2||1 */ [[Property:P1120]]: 2,596"
1122906906,2020-02-24T16:33:03Z,Jeanjung212,/* wbsetclaim-update:2||1 */ [[Property:P3479]]: coronaviruset
1122906780,2020-02-24T16:32:19Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P3479]]: kinesiska-coronaviruset
1122901446,2020-02-24T16:24:09Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P4167]]: Koronaviruset
1122900334,2020-02-24T16:22:30Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P3509]]: det-nya-coronaviruset
1122868956,2020-02-24T15:35:06Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P2581]]: 25337381n
1122864337,2020-02-24T15:28:39Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P2671]]: /g/11fr15t15h
1122861751,2020-02-24T15:25:00Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P5337]]: CAAqKAgKIiJDQkFTRXdvTkwyY3ZNVEZtY2pFMWRERTFhQklDWlc0b0FBUAE
1122861071,2020-02-24T15:24:07Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P4204]]: coronavirus
1122860925,2020-02-24T15:23:54Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P6922]]: coronavirus
1122860753,2020-02-24T15:23:41Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P7284]]: coronavirus
1122860515,2020-02-24T15:23:22Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P3106]]: world/coronavirus-outbreak
1122860198,2020-02-24T15:22:59Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P6200]]: cyz0z8w0ydwt
1122859767,2020-02-24T15:22:28Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P7301]]: events/coronavirus-outbreak
1122857009,2020-02-24T15:16:34Z,Jeanjung212,/* wbsetclaim-create:2||1 */ [[Property:P3417]]: COVID-19-2019-2020
1122845927,2020-02-24T14:54:42Z,Dumbassman,"/* wbsetdescription-add:1|af */ wêreldwye virale uitbraak vanaf 'n seekosmark in Wuhan, China"
1122807289,2020-02-24T13:35:07Z,MatSuBot,/* wbeditentity-update-languages-and-other-short:0||sc */ add missing labels
1122666844,2020-02-24T08:59:58Z,Mohanad,"/* wbsetclaim-update:2||1 */ [[Property:P1603]]: 67,102"
1122664212,2020-02-24T08:55:42Z,Mohanad,"/* wbsetclaim-update:2||1|2 */ [[Property:P1603]]: 75,748"
